BioWare Version 5.4.9.0 Export
Device:	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA
Samples (#):	6000	6000	6000	6000	6000	6000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2749	2749	2749	0	0	0
Contact period end (sample #):	4741	4741	4741	3520	3520	3520
Contact period start time (s):	2.749000	2.749000	2.749000	0.000000	0.000000	0.000000
Contact period end time (s):	4.741000	4.741000	4.741000	3.520000	3.520000	3.520000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 23, 2024  11:27:10
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.205000	0.306615	0.324609	2.245167	-4.076928	-4.029904	660.728245
0.206000	0.230321	0.095727	1.934777	-4.000634	-4.106198	660.406471
0.207000	0.039586	0.095727	0.367341	-3.924340	-4.182491	661.656374
0.208000	0.077734	0.400903	1.629948	-4.115075	-3.839169	661.991177
0.209000	0.421056	0.362756	1.152149	-3.848046	-3.839169	661.821975
0.210000	0.077733	0.210168	1.781197	-3.924340	-3.877315	660.561979
0.211000	0.344762	0.286462	1.786909	-3.771752	-3.839169	661.192551
0.212000	0.154027	0.324609	2.257419	-3.695458	-3.724728	659.926582
0.213000	0.459203	0.095727	2.731279	-3.619164	-3.839168	660.071517
0.214000	0.230321	0.248315	2.094580	-3.542870	-3.686581	660.871305
0.215000	0.154027	0.210168	2.093226	-3.313989	-3.648434	661.657568
0.216000	0.268468	0.248315	1.772285	-3.504723	-3.533993	659.923643
0.217000	0.230321	0.400903	1.768661	-3.237695	-3.762875	659.595344
0.218000	0.268468	0.324609	1.299836	-3.504723	-3.381405	660.547870
0.219000	0.230321	0.248315	1.776508	-3.313989	-3.495846	658.971977
0.220000	0.421056	0.172021	1.778297	-3.275842	-3.457699	659.283313
0.221000	0.154027	0.210168	1.470025	-2.970666	-3.419552	660.233264
0.222000	0.192174	0.057580	1.147384	-2.970666	-3.495846	659.275050
0.223000	0.115880	0.210168	2.577580	-3.008813	-3.572140	660.535196
0.224000	0.344762	0.172021	0.204337	-2.932519	-3.343258	658.955549
0.225000	0.115880	0.286462	2.405121	-2.932519	-3.457699	659.588855
0.226000	0.192174	0.210168	1.784190	-2.856225	-3.305111	660.857152
0.227000	0.154027	0.095727	1.924226	-2.818078	-3.381405	658.948222
0.228000	0.001440	0.057580	1.458782	-2.894372	-3.228817	658.950520
0.229000	-0.189296	0.324609	2.412426	-2.894372	-3.152523	660.062785
0.230000	0.115880	0.133874	3.364973	-2.741784	-3.305111	658.800184
0.231000	0.115880	0.210168	2.404971	-2.818078	-3.419552	658.319948
0.232000	0.039586	0.324609	1.629768	-2.856225	-3.457699	659.734689
0.233000	0.344762	0.286462	2.407737	-2.970666	-3.457699	659.896520
0.234000	0.077734	0.477197	2.246702	-2.322167	-3.266964	658.624199
0.235000	0.192174	0.324609	2.879643	-2.856225	-3.381405	658.623202
0.236000	0.382909	0.248315	2.409479	-2.589196	-3.114376	658.312795
0.237000	0.077733	0.248315	1.781889	-2.436608	-3.419552	657.677691
0.238000	0.382909	0.172021	1.460705	-2.436608	-3.305111	657.368917
0.239000	0.230321	0.210168	0.834573	-2.512902	-3.266964	658.152920
0.240000	0.268468	0.210168	1.623559	-2.398461	-3.343258	656.581030
0.241000	0.115880	0.210168	2.094234	-2.322167	-3.266964	657.834847
0.242000	0.344762	0.286462	1.625078	-2.131432	-3.038082	656.733632
0.243000	0.230321	0.439050	2.416876	-2.131432	-3.076229	657.658854
0.244000	0.268468	0.133874	1.304587	-1.902550	-3.343258	657.670252
0.245000	0.001440	0.286462	2.417838	-2.055138	-3.610287	657.673793
0.246000	0.382909	0.286462	1.625709	-1.788110	-3.228817	657.515180
0.247000	0.192174	0.133874	1.943766	-1.826257	-3.228817	657.989079
0.248000	0.154027	0.248315	2.086102	-1.978844	-3.266964	657.190816
0.249000	0.077734	0.286462	1.614181	-1.826257	-3.114376	656.244959
0.250000	0.344762	0.133874	1.622582	-1.749963	-3.228817	657.193421
0.251000	0.306615	0.324609	1.933996	-2.093285	-3.190670	656.409266
0.252000	0.077734	0.172021	3.353099	-1.521081	-3.190670	656.238932
0.253000	0.077733	0.400903	1.151969	-1.826257	-3.038082	657.653506
0.254000	0.230321	0.172021	3.199188	-1.902550	-3.076229	658.120071
0.255000	0.154027	0.362756	3.361246	-1.673669	-3.038082	657.187092
0.256000	0.192174	0.286462	2.564082	-1.826257	-3.038082	657.027504
0.257000	0.154027	0.172021	2.894344	-1.635522	-3.228817	657.653658
0.258000	0.230321	0.400903	0.991550	-1.711816	-2.923641	656.708450
0.259000	0.077734	0.133874	2.564532	-1.749963	-2.923641	657.646672
0.260000	0.001440	0.286462	2.567975	-1.521081	-2.847347	656.866897
0.261000	0.306615	0.133874	2.408352	-1.635522	-2.885494	655.604462
0.262000	0.154027	0.210168	1.145460	-1.406640	-2.847347	655.761316
0.263000	0.192174	0.133874	1.300348	-1.521081	-2.809200	656.857168
0.264000	0.115880	0.248315	2.258727	-1.635522	-2.427731	656.541883
0.265000	0.077734	0.133874	1.938235	-1.597375	-2.389584	655.432367
0.266000	0.192174	0.095727	1.624732	-1.711816	-2.656612	655.434972
0.267000	0.001440	0.248315	2.567179	-1.635522	-2.504025	656.218432
0.268000	0.344762	0.286462	2.730979	-1.673669	-2.504025	656.703072
0.269000	0.268468	0.095727	2.419596	-1.521081	-2.504025	656.376729
0.270000	0.344762	0.400903	1.148076	-1.711816	-2.236996	656.849978
0.271000	0.268468	0.172021	2.729702	-1.673669	-2.084408	655.749911
0.272000	0.154027	0.057580	1.626986	-1.711816	-2.198849	655.596660
0.273000	0.230321	0.477197	2.086118	-1.444787	-2.275143	655.439837
0.274000	0.306615	0.248315	2.737322	-1.635522	-2.084408	656.216838
0.275000	0.192174	0.210168	1.934265	-1.864403	-2.160702	654.015851
0.276000	0.039587	0.362756	1.444773	-1.559228	-1.855526	655.895980
0.277000	0.230321	0.286462	2.724770	-1.711816	-2.160702	655.750062
0.278000	0.154027	0.286462	1.936927	-1.406640	-2.046261	655.433629
0.279000	-0.036708	0.324609	1.470987	-1.559228	-1.817379	654.329528
0.280000	0.192174	0.095727	1.464313	-1.482934	-1.741085	654.635033
0.281000	0.001440	0.095727	1.619997	-1.482934	-1.931820	655.594032
